rDfaSize	algoLabel	rSampleProp	positive	negative
20	QSM-RPNI	1	2	1
20	QSM-RPNI	2	3	3
20	QSM-RPNI	3	6	4
20	QSM-RPNI	4	9	4
20	QSM-RPNI	5	9	3
20	QSM-RPNI	6	9	1

20	QSM-BlueFringe	1	2	1
20	QSM-BlueFringe	2	3	2
20	QSM-BlueFringe	3	7	3
20	QSM-BlueFringe	4	7	2
20	QSM-BlueFringe	5	7	1
20	QSM-BlueFringe	6	8	0

50	QSM-RPNI	1	37	20
50	QSM-RPNI	2	56	26
50	QSM-RPNI	3	69	22
50	QSM-RPNI	4	67	13
50	QSM-RPNI	5	71	5
50	QSM-RPNI	6	82	1

50	QSM-BlueFringe	1	47	19
50	QSM-BlueFringe	2	85	21
50	QSM-BlueFringe	3	88	13
50	QSM-BlueFringe	4	83	3
50	QSM-BlueFringe	5	78	1
50	QSM-BlueFringe	6	80	0

100	QSM-RPNI	1	204	84
100	QSM-RPNI	2	225	75
100	QSM-RPNI	3	199	48
100	QSM-RPNI	4	171	21
100	QSM-RPNI	5	189	9
100	QSM-RPNI	6	198	3

100	QSM-BlueFringe	1	254	63
100	QSM-BlueFringe	2	288	43
100	QSM-BlueFringe	3	298	13
100	QSM-BlueFringe	4	255	3
100	QSM-BlueFringe	5	252	1
100	QSM-BlueFringe	6	269	0

200	QSM-RPNI	1	1260	306
200	QSM-RPNI	2	942	182
200	QSM-RPNI	3	699	63
200	QSM-RPNI	4	756	19
200	QSM-RPNI	5	878	8
200	QSM-RPNI	6	1008	3

200	QSM-BlueFringe	1	956	122
200	QSM-BlueFringe	2	1392	47
200	QSM-BlueFringe	3	1663	10
200	QSM-BlueFringe	4	999	2
200	QSM-BlueFringe	5	1261	0
200	QSM-BlueFringe	6	1111	0
