#rDfaSize	rSampleProp	RPNI	BlueFringe	QSM-RPNI	QSM-BlueFringe
20	1	0.002	0.003	0.006	0.009
20	2	0.005	0.014	0.014	0.026
20	3	0.013	0.038	0.036	0.103
20	4	0.035	0.131	0.07	0.187
20	5	0.065	0.234	0.11	0.178
20	6	0.076	0.239	0.096	0.205

50	1	0.032	0.135	0.405	3.365
50	2	0.094	0.647	0.889	7.346
50	3	0.292	3.16	1.239	9.011
50	4	0.715	6.663	1.251	5.224
50	5	0.632	5.197	0.673	2.586
50	6	0.296	2.71	0.483	2.979

100	1	0.348	4.338	9.735	154.638
100	2	1.04	22.667	11.002	127.935
100	3	3.569	133.076	11.233	66.861
100	4	9.138	69.151	6.465	33.935
100	5	1.91	17.593	3.798	21.288
100	6	1.196	21.217	2.828	22.794

200	1	4.107	172.818	318.717	3229.033
200	2	15.697	1172.924	179.455	1686.126
200	3	67.233	2660.509	62.215	1078.903
200	4	77.944	540.314	22.385	280.316
200	5	4.942	186.128	14.408	227.825
200	6	5.086	224.844	12.171	238.282
