#  dfa       Prop     RPNI     Blue    MSM 0%   MSM 5%   MSM 10%  MSM 20%  MSM 100%

1   32          3     0.65     0.65     0.66     0.77     0.68     0.66     0.65     
2   32          6     0.66     0.66     0.70     0.86     0.74     0.68     0.66     
3   32       12.5     0.69     0.68     0.76     0.92     0.82     0.72     0.68     
4   32         25     0.81     0.74     0.85     0.97     0.91     0.80     0.75     
5   32         50     0.96     0.87     0.94     0.99     0.97     0.91     0.87     
6   32        100     0.99     0.97     0.98     0.99     0.99     0.98     0.97     

1   64          3     0.68     0.69     0.71     0.87     0.75     0.69     0.69     
2   64          6     0.70     0.70     0.76     0.93     0.83     0.73     0.70     
3   64       12.5     0.75     0.72     0.84     0.97     0.91     0.78     0.72     
4   64         25     0.92     0.79     0.92     0.99     0.96     0.88     0.79     
5   64         50     0.98     0.94     0.98     0.99     0.99     0.96     0.94     
6   64        100     0.99     0.99     0.99     0.99     0.99     0.99     0.99     
